record_id,is_synthetic,split,narrative,attack_vector,attribution,awareness,misconception,emotion_panic,emotion_anger,emotion_fear,emotion_confusion,emotion_neutral,assist_fund_recovery,assist_account_recovery,assist_content_removal,assist_legal_action,assist_investigation,action_bank,action_password_reset,action_police,action_account_block,pred_attack_vector,pred_attribution,pred_awareness,pred_misconception,pred_emotion_panic,pred_emotion_anger,pred_emotion_fear,pred_emotion_confusion,pred_emotion_neutral,pred_assist_fund_recovery,pred_assist_account_recovery,pred_assist_content_removal,pred_assist_legal_action,pred_assist_investigation,pred_action_bank,pred_action_password_reset,pred_action_police,pred_action_account_block
SYN-0011,1,train,Someone using a known service's name requested a confirmation payment that I later recognized as fraudulent.,4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,1,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
SYN-0012,1,train,An amount was deducted without my approval; I asked the bank to block further transactions and investigate.,5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0
SYN-0013,1,train,"I received an email appearing to be from my bank, used its sign-in link, and later noticed an unauthorized transfer.",0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0014,1,train,"A caller requested a verification code, after which money was debited; I informed my bank.",1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
SYN-0015,1,train,"I installed an application from a support link, lost account access, and changed my password.",2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
SYN-0016,1,train,My online account became inaccessible; I reset the password but remain worried about its security.,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
SYN-0017,1,train,"A supposed buyer asked me to approve a payment request, but the amount was deducted instead of credited.",4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,1,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
SYN-0018,1,train,"I noticed an unauthorized transaction without any known associated message, call, link, or application.",5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0
SYN-0019,1,train,I paid a delivery charge through a message link and later saw transactions I did not recognize.,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
SYN-0020,1,train,Someone claiming to be support requested a verification code and then changed my account details.,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
SYN-0021,1,train,I installed an application for a supposed refund and later found money transferred from my account.,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
SYN-0022,1,train,An unknown person accessed my profile and posted content; I changed my password and requested removal.,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
SYN-0023,1,train,Someone using a known service's name requested a confirmation payment that I later recognized as fraudulent.,4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0024,1,train,An amount was deducted without my approval; I asked the bank to block further transactions and investigate.,5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,5,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
SYN-0025,1,train,"I received an email appearing to be from my bank, used its sign-in link, and later noticed an unauthorized transfer.",0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
SYN-0026,1,train,"A caller requested a verification code, after which money was debited; I informed my bank.",1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
SYN-0027,1,train,"I installed an application from a support link, lost account access, and changed my password.",2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
SYN-0028,1,train,My online account became inaccessible; I reset the password but remain worried about its security.,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
SYN-0029,1,train,"A supposed buyer asked me to approve a payment request, but the amount was deducted instead of credited.",4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0030,1,train,"I noticed an unauthorized transaction without any known associated message, call, link, or application.",5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
SYN-0031,1,train,I paid a delivery charge through a message link and later saw transactions I did not recognize.,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0032,1,train,Someone claiming to be support requested a verification code and then changed my account details.,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
SYN-0033,1,train,I installed an application for a supposed refund and later found money transferred from my account.,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
SYN-0034,1,train,An unknown person accessed my profile and posted content; I changed my password and requested removal.,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
SYN-0035,1,train,Someone using a known service's name requested a confirmation payment that I later recognized as fraudulent.,4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0036,1,train,An amount was deducted without my approval; I asked the bank to block further transactions and investigate.,5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
SYN-0037,1,train,"I received an email appearing to be from my bank, used its sign-in link, and later noticed an unauthorized transfer.",0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0038,1,train,"A caller requested a verification code, after which money was debited; I informed my bank.",1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
SYN-0039,1,train,"I installed an application from a support link, lost account access, and changed my password.",2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
SYN-0040,1,train,My online account became inaccessible; I reset the password but remain worried about its security.,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0
SYN-0041,1,train,"A supposed buyer asked me to approve a payment request, but the amount was deducted instead of credited.",4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
SYN-0042,1,train,"I noticed an unauthorized transaction without any known associated message, call, link, or application.",5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
SYN-0043,1,validation,I paid a delivery charge through a message link and later saw transactions I did not recognize.,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0044,1,validation,Someone claiming to be support requested a verification code and then changed my account details.,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
SYN-0045,1,validation,I installed an application for a supposed refund and later found money transferred from my account.,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
SYN-0046,1,validation,An unknown person accessed my profile and posted content; I changed my password and requested removal.,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
SYN-0047,1,validation,Someone using a known service's name requested a confirmation payment that I later recognized as fraudulent.,4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
SYN-0048,1,validation,An amount was deducted without my approval; I asked the bank to block further transactions and investigate.,5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
SYN-0049,1,validation,"I received an email appearing to be from my bank, used its sign-in link, and later noticed an unauthorized transfer.",0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0050,1,validation,"A caller requested a verification code, after which money was debited; I informed my bank.",1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
SYN-0051,1,validation,"I installed an application from a support link, lost account access, and changed my password.",2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
SYN-0052,1,test,My online account became inaccessible; I reset the password but remain worried about its security.,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
SYN-0053,1,test,"A supposed buyer asked me to approve a payment request, but the amount was deducted instead of credited.",4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,1,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0054,1,test,"I noticed an unauthorized transaction without any known associated message, call, link, or application.",5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
SYN-0055,1,test,I paid a delivery charge through a message link and later saw transactions I did not recognize.,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
SYN-0056,1,test,Someone claiming to be support requested a verification code and then changed my account details.,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
SYN-0057,1,test,I installed an application for a supposed refund and later found money transferred from my account.,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
SYN-0058,1,test,An unknown person accessed my profile and posted content; I changed my password and requested removal.,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
SYN-0059,1,test,Someone using a known service's name requested a confirmation payment that I later recognized as fraudulent.,4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0060,1,test,An amount was deducted without my approval; I asked the bank to block further transactions and investigate.,5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,5,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
